School incident,BB/pellet gun,State Senate District,State,Defensive use,Latitude,Accidental shooting,Gang involvement,Domestic violence,Injury involvement,Kidnapping,ATF/LE confiscation,Stolen gun involvement,"Idiocy, not aggression",State House District,Suicide or suicide attempt,Gun found during commission of other crime,Address,No shooting,Child involvement,Drive-by,Home invasion,No injuries,Notes,Number Killed,Incident Date,Longitude,Car-jacking,Possession of gun by felon or prohibited person,ID,Self-inflicted,Congressional District,Armed robbery,Officer involvement,Location Description,Death involvement,"Brandishing, open carry, or lost and found",Perpetrator under influence,Number Injured,Lockdown alert,Mistaken ID,Pistol-whipping,City or County,Drug involvement
False,False,,New York,False,N/A,False,False,False,True,False,False,False,False,,False,False,230 Virginia Street,False,False,False,False,False,"near Whitney, clerk shot during ar",0,"January 14, 2016",N/A,False,False,0,False,,True,False,"United Grocery; 230 Virginia Street; Buffalo, New York",False,False,False,1,False,False,False,Buffalo,False
False,False,26,North Carolina,False,36.3592,False,False,False,True,False,False,False,False,91,False,False,600 block of Lindsey Street,False,False,False,False,False,,0,"January 14, 2016",-79.671,False,False,1,False,6,False,False,"600 block of Lindsey Street; Reidsville, North Carolina",False,False,False,1,False,False,False,Reidsville,False
False,False,38,North Carolina,False,35.2403,False,False,False,True,False,False,False,False,101,False,False,900 block of State Street,False,False,False,False,False,,1,"January 14, 2016",-80.8728,False,False,2,False,12,False,False,"900 block of State Street; Charlotte, North Carolina",True,False,False,1,False,False,False,Charlotte,False
False,False,9,Florida,False,30.3754,False,False,False,False,False,False,False,False,13,False,False,West 48th and Main Streets,False,False,False,False,False,,1,"January 14, 2016",-81.6512,False,False,3,False,5,False,False,"West 48th and Main Streets; Jacksonville, Florida",True,False,False,0,False,False,False,Jacksonville,False
False,False,19,North Carolina,False,35.0287,False,False,False,True,False,False,False,False,44,False,False,Ireland Drive,False,False,False,False,False,Female victim shot/wounded by son,0,"January 14, 2016",-78.9446,False,False,4,False,2,False,False,"Ireland Drive; Fayetteville, North Carolina",False,False,False,1,False,False,False,Fayetteville,False
False,False,3,Arizona,False,32.1201,False,False,False,True,False,False,False,False,3,False,False,7200 block of South Theodore Place,False,False,False,True,False,,0,"January 14, 2016",-110.971,False,False,5,False,3,False,False,"7200 block of South Theodore Place; Tucson, Arizona",False,False,False,1,False,False,False,Tucson,False
False,False,4,Nevada,False,36.2068,False,False,False,False,False,False,False,False,6,False,False,2600 Block of St. George Street,True,False,False,False,False,Suicidal man surrenders to police after 5 hours.,0,"January 14, 2016",-115.12,False,False,6,False,4,False,True,"2600 Block of St. George Street; North Las Vegas, Nevada",False,False,False,0,False,False,False,North Las Vegas,False
False,False,7,Texas,False,29.8377,False,False,False,False,False,False,False,False,138,False,False,N/A,False,False,False,False,False,1 killed,1,"January 14, 2016",-95.6684,False,False,7,False,7,False,False,"; Harris (county), Texas",True,False,False,0,False,False,False,Harris (county),False
False,False,,Illinois,False,N/A,False,False,False,True,False,False,False,False,,False,True,4800 block of South Laflin Street,False,False,True,False,False,"Back of the Yards - man wounded, left groin area, as he got out of SUV, by drive up shooter; stable",0,"January 14, 2016",N/A,False,False,8,False,,False,False,"4800 block of South Laflin Street; Chicago Heights, Illinois",False,False,False,1,False,False,False,Chicago Heights,False
False,False,,Maryland,False,N/A,False,False,False,True,False,False,False,False,,False,False,7400 block of Park Heights Avenue,False,False,True,False,False,,0,"January 14, 2016",N/A,False,False,9,False,,False,False,"7400 block of Park Heights Avenue; Baltimore, Maryland",False,False,False,1,False,False,False,Baltimore,False
False,False,30,Illinois,False,42.3703,False,False,False,False,False,False,False,False,60,False,True,2811 Grand Avenue,False,False,False,False,True,Armed robber fires gun into cooler during robbery;,0,"January 14, 2016",-87.8705,False,False,10,False,10,True,False,"Big Daddy’s Liquors; 2811 Grand Avenue; Waukegan, Illinois",False,False,False,0,False,False,False,Waukegan,False
False,False,20,Texas,False,27.702,False,False,False,False,False,False,False,False,34,False,False,4300 Block of Killarmet Drive,False,False,False,False,True,,0,"January 14, 2016",-97.4047,False,False,11,False,27,False,False,"4300 Block of Killarmet Drive; Corpus Christi, Texas",False,False,False,0,False,False,False,Corpus Christi,False
False,False,2,Tennessee,False,35.8352,False,False,False,True,False,False,False,False,12,False,False,180 Collier Drive,False,False,False,False,False,"near Texas Roadhouse, shots fired in officer-involved shooting near restaurant [no details]",0,"January 13, 2016",-83.5509,False,False,12,False,1,False,True,"Texas RoadHouse; 180 Collier Drive; Sevierville, Tennessee",False,False,False,1,False,False,False,Sevierville,False
False,False,4,Wisconsin,False,43.1116,False,False,False,False,False,False,False,False,12,False,False,7700 block of West Kathryn Avenue,False,False,False,False,False,"perp in minivan, vic found in street",1,"January 13, 2016",-88.0077,False,False,13,False,4,False,False,"7700 block of West Kathryn Avenue; Milwaukee, Wisconsin",True,False,False,0,False,False,False,Milwaukee,False
False,False,10,Ohio,False,39.9118,False,False,False,True,False,False,False,False,79,False,False,300 block of West Southern Avenue,False,False,False,False,False,"Man shot, leg, while outside; suspect sought; stable",0,"January 13, 2016",-83.8175,False,False,14,False,8,False,False,"300 block of West Southern Avenue; Springfield, Ohio",False,False,False,1,False,False,False,Springfield,False
