ATF/LE Confiscation/Raid/Arrest,Accidental Shooting,Accidental Shooting - Death,Accidental Shooting - Injury,Accidental Shooting at a Business,Accidental/Negligent Discharge,Address,Armed robbery with injury/death and/or evidence of DGU found,BB/pellet gun,Bar/club incident - in or around establishment,Brandishing/flourishing/open carry/lost/found,Car-jacking,Child Involved Incident,Child injured (not child shooter),Child with gun - no shots fired,City or County,Concealed Carry License - Perpetrator,Concealed Carry License - Victim,Congressional District,Criminal act with stolen gun,Defensive Use,"Defensive Use - Crime occurs, victim shoots perpetrator","Defensive Use - Shots fired, no injury/death",Defensive Use - Stand Your Ground/Castle Doctrine established,Defensive Use - Victim stops crime,Defensive Use - WITHOUT a gun,Domestic Violence,"Drive-by (car to street, car to car)",Drug involvement,Gang involvement,"Gun at school, no death/injury - elementary/secondary school",Gun range/gun shop/gun show shooting,Gun(s) stolen from owner,Home Invasion,Home Invasion - No death or injury,Home Invasion - Resident injured,ID,"IDIOCY, NOT AGGRESSION",Incident Date,Institution/Group/Business,Kidnapping/abductions/hostage,LOCKDOWN/ALERT ONLY:  No GV Incident Occurred Onsite,Latitude,Location Description,Longitude,"Mistaken ID  (thought it was an intruder/threat, was friend/family)",Non-Shooting Incident,Notes,Number Injured,Number Killed,Officer Involved Incident,Officer Involved Incident - Weapon involved but no shots fired,Officer Involved Shooting - Officer shot,Officer Involved Shooting - Perpetrator killed,Officer Involved Shooting - Perpetrator shot,Officer Involved Shooting - Perpetrator suicide at standoff,Officer Involved Shooting - Perpetrator surrender at standoff,"Officer Involved Shooting - Shots fired, no injury",Pistol-whipping,Playing with gun,Possession (gun(s) found during commission of other crimes),Possession of gun by felon or prohibited person,School Incident,School Shooting - elementary/secondary school,School Shooting - university/college,Self-Inflicted (not suicide or suicide attempt - NO PERP),"Shot - Dead (murder, accidental, suicide)",Shot - Wounded/Injured,Shots Fired - No Injuries,"Shots fired, no action (reported, no evidence found)",State,State House District,State Senate District,Stolen/Illegally owned gun{s} recovered during arrest/warrant,Suicide,Suicide - Attempt,Under the influence of alcohol or drugs (only applies to the perpetrator)
False,False,False,False,False,False,230 Virginia Street,True,False,False,False,False,False,False,False,Buffalo,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,"January 14, 2016",True,False,False,N/A,"United Grocery; 230 Virginia Street; Buffalo, New York",N/A,False,False,"near Whitney, clerk shot during ar",1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,New York,,,False,False,False,False
False,False,False,False,False,False,600 block of Lindsey Street,False,False,False,False,False,False,False,False,Reidsville,False,False,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,"January 14, 2016",False,False,False,36.3592,"600 block of Lindsey Street; Reidsville, North Carolina",-79.671,False,False,,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,North Carolina,91,26,False,False,False,False
False,False,False,False,False,False,900 block of State Street,False,False,False,False,False,False,False,False,Charlotte,False,False,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,"January 14, 2016",False,False,False,35.2403,"900 block of State Street; Charlotte, North Carolina",-80.8728,False,False,,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,North Carolina,101,38,False,False,False,False
False,False,False,False,False,False,West 48th and Main Streets,False,False,False,False,False,False,False,False,Jacksonville,False,False,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,"January 14, 2016",False,False,False,30.3754,"West 48th and Main Streets; Jacksonville, Florida",-81.6512,False,False,,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Florida,13,9,False,False,False,False
False,False,False,False,False,False,Ireland Drive,False,False,False,False,False,False,False,False,Fayetteville,False,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,"January 14, 2016",False,False,False,35.0287,"Ireland Drive; Fayetteville, North Carolina",-78.9446,False,False,Female victim shot/wounded by son,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,North Carolina,44,19,False,False,False,False
False,False,False,False,False,False,7200 block of South Theodore Place,False,False,False,False,False,False,False,False,Tucson,False,False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,5,False,"January 14, 2016",False,False,False,32.1201,"7200 block of South Theodore Place; Tucson, Arizona",-110.971,False,False,,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Arizona,3,3,False,False,False,False
False,False,False,False,False,False,2600 Block of St. George Street,False,False,False,False,False,False,False,False,North Las Vegas,False,False,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,"January 14, 2016",False,False,False,36.2068,"2600 Block of St. George Street; North Las Vegas, Nevada",-115.12,False,True,Suicidal man surrenders to police after 5 hours.,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Nevada,6,4,False,False,False,False
False,False,False,False,False,False,N/A,False,False,False,False,False,False,False,False,Harris (county),False,False,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,False,"January 14, 2016",False,False,False,29.8377,"; Harris (county), Texas",-95.6684,False,False,1 killed,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Texas,138,7,False,False,False,False
False,False,False,False,False,False,4800 block of South Laflin Street,False,False,False,False,False,False,False,False,Chicago Heights,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8,False,"January 14, 2016",False,False,False,N/A,"4800 block of South Laflin Street; Chicago Heights, Illinois",N/A,False,False,"Back of the Yards - man wounded, left groin area, as he got out of SUV, by drive up shooter; stable",1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,Illinois,,,False,False,False,False
False,False,False,False,False,False,7400 block of Park Heights Avenue,False,False,False,False,False,False,False,False,Baltimore,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9,False,"January 14, 2016",False,False,False,N/A,"7400 block of Park Heights Avenue; Baltimore, Maryland",N/A,False,False,,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Maryland,,,False,False,False,False
